group,subgroup,shap value,cluster,type
Houses with floor of dirt,class 1,0.515827665,non,chkk
Illiteracy,class 0,0.7074286359999999,all,dengue
Mean Max Temp,class 1,0.293676783,non,dengue
Mean Max Temp,class 0,0.592260077,all,chkk
Population without health services,class 0,0.33743732200000004,all,dengue
Houses without sewage,class 1,0.019347168,non,zika
Population without health services,class 1,0.772720203,non,dengue
Min mm/day,class 0,0.001,all,chkk
Houses without water pipelines,class 0,0.275768419,all,chkk
Altitude,class 0,0.10651230699999999,all,chkk
Houses with floor of dirt,class 1,0.159875593,non,zika
Houses without sewage,class 1,0.338113654,all,zika
Houses with floor of dirt,class 0,0.17713061300000002,non,zika
Houses without electricity,class 1,0.021934312,non,chkk
Population without health services,class 0,0.485651027,non,zika
Altitude,class 0,0.055435653,all,zika
Houses without sewage,class 1,0.026636495,non,zika
Houses without sewage,class 0,0.16383076400000002,non,chkk
Min mm/day,class 1,0.017189415,non,dengue
Houses without electricity,class 1,0.29997635100000003,non,dengue
Houses without electricity,class 0,0.285561157,non,dengue
Min mm/day,class 1,0.001,non,dengue
Mean Min Temp,class 1,0.326723069,all,dengue
Mean Temp,class 1,0.745358876,non,dengue
Mean Max Temp,class 0,0.211836108,non,zika
Min mm/day,class 0,0.030592627999999997,non,zika
Houses without sewage,class 1,0.20853272899999997,non,chkk
Mean Min Temp,class 0,0.0215497,non,chkk
Houses with floor of dirt,class 1,0.176869301,all,zika
Mean Min Temp,class 0,0.149532079,non,zika
Population without health services,class 1,0.320281876,all,dengue
Mean mm/day,class 0,0.28372699,all,zika
Min mm/day,class 1,0.02022217,non,chkk
Houses with floor of dirt,class 0,0.506013909,all,chkk
Illiteracy,class 0,0.7949217,all,chkk
Houses with floor of dirt,class 0,0.21573588300000002,non,dengue
Houses without water pipelines,class 0,0.599628985,all,zika
Altitude,class 1,0.001,non,dengue
Population without health services,class 1,0.756837807,non,dengue
Houses without water pipelines,class 0,0.330948421,all,chkk
Houses with floor of dirt,class 1,0.5778616,all,dengue
Houses without toilet,class 1,1.186809915,non,zika
Mean Max Temp,class 1,0.6199837229999999,all,chkk
Mean Max Temp,class 0,0.222386817,non,zika
Mean Min Temp,class 0,0.224903237,all,zika
Mean Max Temp,class 0,0.19263079100000002,all,zika
Mean Max Temp,class 0,0.22922415399999999,all,zika
Population without health services,class 1,0.318611001,all,dengue
Illiteracy,class 1,0.737851666,non,zika
Houses without toilet,class 0,0.46666129799999995,all,zika
Population without health services,class 1,0.39944323299999995,non,zika
Mean mm/day,class 1,0.239289627,all,chkk
Houses with floor of dirt,class 0,0.17936994399999998,non,zika
Houses without toilet,class 0,0.41902791799999994,all,chkk
Houses without electricity,class 1,0.303116271,non,dengue
Illiteracy,class 1,0.711392365,non,zika
Houses without sewage,class 0,0.042314950999999996,non,zika
Houses without electricity,class 0,0.065631597,all,zika
Mean Min Temp,class 0,0.11324348699999999,non,zika
Mean Max Temp,class 0,0.24853917399999997,non,dengue
Houses with floor of dirt,class 1,0.517636517,all,chkk
Population without health services,class 0,0.8072160509999999,all,zika
Houses without electricity,class 0,0.418475149,all,dengue
Houses without water pipelines,class 0,0.283193485,non,dengue
Illiteracy,class 1,0.8395315240000001,all,zika
Max mm/day,class 1,0.39539348,non,dengue
Mean Min Temp,class 1,0.522624519,non,dengue
Houses without electricity,class 0,0.047021969000000004,non,chkk
Min mm/day,class 0,0.015443241000000002,non,zika
Min mm/day,class 0,0.001074114,all,dengue
Houses with floor of dirt,class 1,0.20451307600000002,non,zika
Mean Min Temp,class 1,0.184879065,all,zika
Altitude,class 0,0.04023122,non,chkk
Mean Max Temp,class 1,0.487726038,all,dengue
Houses with floor of dirt,class 0,0.18,all,zika
Mean mm/day,class 1,0.296043522,all,dengue
Min mm/day,class 0,0.001,all,zika
Houses without toilet,class 0,0.436405088,all,zika
Altitude,class 1,0.049855615,non,chkk
Mean Min Temp,class 0,0.138352024,non,zika
Population without health services,class 0,0.45681357,non,zika
Illiteracy,class 0,0.6972566579999999,all,dengue
Altitude,class 1,0.008839464,all,dengue
Altitude,class 0,0.020086868,non,zika
Mean mm/day,class 1,0.282513616,all,chkk
Min mm/day,class 0,0.025321603999999998,non,chkk
Mean Max Temp,class 0,0.46556431600000003,all,dengue
Mean Temp,class 0,0.690684427,non,dengue
Mean Temp,class 1,0.046022438,non,chkk
Population without health services,class 1,0.921354584,all,zika
Min mm/day,class 0,0.025829553999999998,non,chkk
Houses without water pipelines,class 0,0.249942298,all,chkk
Illiteracy,class 0,0.9,all,zika
Houses without water pipelines,class 0,0.39333912299999996,non,zika
Altitude,class 1,0.069461155,all,chkk
Population without health services,class 1,1.168421219,all,chkk
Mean mm/day,class 0,0.42176547200000003,non,dengue
Illiteracy,class 0,0.25248002199999997,non,chkk
Max mm/day,class 0,0.231624489,all,dengue
Mean Max Temp,class 1,0.310048975,non,dengue
Houses without sewage,class 1,0.41076857200000005,all,chkk
Houses without sewage,class 0,0.485176492,all,dengue
Mean Max Temp,class 1,0.634290435,all,chkk
Mean Temp,class 1,0.7442209240000001,non,dengue
Houses with floor of dirt,class 0,0.512857214,non,chkk
Min mm/day,class 1,0.022328489,all,chkk
Houses without electricity,class 0,0.5457372770000001,non,zika
Houses without toilet,class 0,0.46183321299999996,all,dengue
Mean Temp,class 0,0.021555482999999997,non,zika
Altitude,class 0,0.049296313,non,chkk
Population without health services,class 1,0.386937761,non,zika
Illiteracy,class 1,0.660426225,all,dengue
Mean mm/day,class 1,0.185690804,all,chkk
Mean mm/day,class 0,0.36641903299999995,non,chkk
Houses with floor of dirt,class 1,0.557154743,non,chkk
Mean Max Temp,class 0,0.214719507,non,zika
Mean Max Temp,class 0,0.276330098,non,dengue
Houses without sewage,class 1,0.222866941,non,chkk
Mean mm/day,class 1,0.241997593,all,chkk
Mean Min Temp,class 0,0.503118938,non,dengue
Max mm/day,class 0,0.299655038,all,chkk
Altitude,class 1,0.093962849,all,chkk
Mean Max Temp,class 1,0.656320549,all,chkk
Max mm/day,class 1,0.288914115,all,dengue
Mean mm/day,class 1,0.35332196899999996,all,zika
Houses without water pipelines,class 0,0.148319375,non,chkk
Illiteracy,class 1,0.517862685,non,dengue
Houses without toilet,class 0,1.208350354,non,zika
Min mm/day,class 0,0.001,all,zika
Mean Temp,class 0,0.125697187,all,dengue
Mean Temp,class 0,0.034846922999999995,non,chkk
Mean Min Temp,class 1,0.429161845,all,chkk
Houses without sewage,class 0,0.414682665,all,chkk
Houses without toilet,class 0,0.798020438,non,chkk
Illiteracy,class 1,0.8183998840000001,all,chkk
Houses without water pipelines,class 1,0.542481443,all,zika
Mean mm/day,class 1,0.375399334,all,zika
Mean Max Temp,class 1,0.9187023440000001,non,chkk
Mean Temp,class 1,0.30994811899999997,all,zika
Mean mm/day,class 0,0.292538393,all,zika
Houses without electricity,class 1,0.599784477,non,zika
Illiteracy,class 0,0.900456184,all,zika
Houses without toilet,class 0,0.44378122700000006,all,zika
Houses without water pipelines,class 0,0.38663373799999995,all,dengue
Illiteracy,class 0,0.676939878,all,dengue
Population without health services,class 1,0.455320644,non,zika
Houses without electricity,class 1,0.057138472999999995,all,zika
Houses without electricity,class 0,0.049914713,non,chkk
Houses with floor of dirt,class 1,0.241354073,non,dengue
Mean Max Temp,class 0,1.025674073,non,chkk
Houses without electricity,class 1,0.509371027,all,chkk
Houses without water pipelines,class 0,0.40760873700000005,non,zika
Min mm/day,class 1,0.029883447,all,dengue
Mean Max Temp,class 0,0.451383704,all,dengue
Houses without toilet,class 0,0.432127638,all,zika
Houses without electricity,class 0,0.063701203,all,zika
Houses without electricity,class 1,0.073620817,all,zika
Mean Max Temp,class 1,0.261628158,non,dengue
Mean Min Temp,class 0,0.315975729,all,dengue
Houses without toilet,class 1,0.41620546799999997,all,zika
Mean Max Temp,class 0,0.989452309,non,chkk
Houses without electricity,class 1,0.42652715700000005,all,dengue
Mean mm/day,class 0,0.293107805,all,zika
Mean Max Temp,class 0,0.291334489,non,dengue
